column,name,short_name,type
87,Connection delay:(source01.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source01.JDBCDataSourceRuntime,dbl
88,Memory space usage:((PS Eden Space.MemoryPool.Usage.used / PS Eden Space.MemoryPool.Usage.max)),Memory space usage:PS Eden Space.Used,dbl
89,Prepared statement cache hit rate:((source09.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source09.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source09.JDBCDataSourceRuntime,dbl
90,DB connection started:(incld/dx (source05.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source05.JDBCDataSourceRuntime,dbl
91,Successful wait for connection:(incld/dx (source10.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source10.JDBCDataSourceRuntime,dbl
92,DB connection started:(incld/dx (source10.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source10.JDBCConnectionPoolRuntime,dbl
93,Stuck threads:(JmsAsyncQueue.WorkManagerRuntime.StuckThreadCount),Stuck threads:JmsAsyncQueue,dbl
94,Class unloading activity:(d/dx (ClassLoading.UnloadedClassCount)),Class unloading activity,dbl
95,Rel. unavailable connections:((source10.JDBCDataSourceRuntime.NumUnavailable / source10.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source10.JDBCDataSourceRuntime,dbl
96,Reserve request activity:(incld/dx (source06.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source06.JDBCDataSourceRuntime,dbl
97,Stuck threads:(bea_wls_cluster_internal.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_cluster_internal,dbl
98,Successful wait for connection:(incld/dx (source09.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source09.JDBCDataSourceRuntime,dbl
99,Connection delay:(source04.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source04.JDBCDataSourceRuntime,dbl
100,Connection delay:(source05.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source05.JDBCDataSourceRuntime,dbl
101,Rel. unavailable connections:((source10.JDBCConnectionPoolRuntime.NumUnavailable / source10.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source10.JDBCConnectionPoolRuntime,dbl
102,Stuck threads:(source09.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source09,dbl
